City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,myskhako,44.6714,37.7433,0.26,72,41,0.79,RU,1741058897
260,lucea,18.451,-78.1736,25.92,79,1,2.57,JM,1741058898
261,zemio,5.0314,25.1361,24.17,36,92,0.6,CF,1741058899
262,tsiombe,-25.3,45.4833,23.08,96,5,2.02,MG,1741058900
263,negara,-8.3151,114.6025,29.58,68,100,1.25,ID,1741058902
264,sirjan,29.452,55.6814,4.75,22,3,4.23,IR,1741058903
265,la'ie,21.6477,-157.9253,26.66,75,26,2.68,US,1741058904
266,constitucion,-35.3333,-72.4167,13.82,87,3,3.16,CL,1741058905
267,hobyo,5.3505,48.5268,25.41,81,6,7.09,SO,1741058906
268,hadibu,12.65,54.0333,23.98,79,0,5.09,YE,1741058908
269,huejutla de reyes,21.1333,-98.4167,21.87,90,42,2.26,MX,1741058909
270,dalbandin,28.8947,64.4101,8.04,21,0,2.58,PK,1741058910
271,alghero,40.5589,8.3181,10.54,93,48,2.57,IT,1741058911
272,inyonga,-6.7167,32.0667,16.79,93,96,1.23,TZ,1741058913
273,sabang,5.8933,95.3214,27.8,76,86,2.59,ID,1741058915
274,tamanrasset,22.785,5.5228,18.95,12,0,5.66,DZ,1741058916
275,cangucu,-31.395,-52.6756,22.98,83,25,2.1,BR,1741058917
276,akureyri,65.6835,-18.0878,-2.53,97,100,2.71,IS,1741058919
277,maluso,6.543,121.8753,29.03,72,82,2.07,PH,1741058920
278,el bordo,2.117,-76.9821,20.4,95,99,1.02,CO,1741058921
279,queenstown,-31.8976,26.8753,18.33,69,14,2.26,ZA,1741058774
280,papao,-17.75,-149.55,30.82,77,92,1.28,PF,1741058923
281,mahanoro,-19.9,48.8,25.86,94,42,3.69,MG,1741058925
282,nieuw nickerie,5.95,-56.9833,25.44,84,9,4.83,SR,1741058926
283,amursk,50.2261,136.8994,-15.72,82,100,4.58,RU,1741058927
284,ain oussera,35.4514,2.9058,12.44,63,46,6.31,DZ,1741058928
285,mungwi,-10.1732,31.3694,16.87,93,100,0.87,ZM,1741058930
286,mossel bay,-34.1831,22.146,19.96,84,14,4.69,ZA,1741058931
287,tucumcari,35.1717,-103.725,8.91,14,0,9.26,US,1741058932
288,kitui,-1.367,38.0106,15.85,96,14,1.24,KE,1741058933
289,mugia,43.1041,-9.2179,9.95,85,0,6.75,ES,1741058934
290,east london,-33.0153,27.9116,22.52,83,0,0.51,ZA,1741058712
291,fort mcmurray,56.7268,-111.381,-0.23,74,100,1.54,CA,1741058937
292,tarfaya,27.9358,-12.9218,16.9,79,0,1.38,MA,1741058938
293,wau,7.7029,27.9953,25.72,20,11,1.68,SS,1741058939
294,live oak,36.9836,-121.9805,11.1,78,0,3.09,US,1741058940
295,sault ste. marie,46.5168,-84.3333,-1.84,64,0,1.54,CA,1741058758
296,kamina,-8.7386,24.9906,17.75,95,100,1.35,CD,1741058943
297,pamplona,42.8169,-1.6432,8.95,87,100,2.57,ES,1741058731
298,siracusa,37.0881,15.2792,9.62,86,96,0.89,IT,1741058945
299,sidi khaled,34.387,4.9879,12.94,72,46,4.08,DZ,1741058946
300,sur,22.5667,59.5289,21.12,48,0,6.01,OM,1741058948
301,coahuayana de hidalgo,18.7,-103.6583,20.57,87,58,0.84,MX,1741058949
302,port elizabeth,-33.918,25.5701,22.95,92,0,1.03,ZA,1741058950
303,san antonio,29.4241,-98.4936,23.29,80,100,7.2,US,1741058933
304,nizhneudinsk,54.9076,99.0276,-4.83,83,99,1.34,RU,1741058952
305,hinton,53.4001,-117.5857,-6.58,97,65,1.04,CA,1741058954
306,puttalam,8.0362,79.8283,25.74,83,100,4.95,LK,1741058955
307,mkushi,-13.6202,29.3939,16.68,98,100,1.26,ZM,1741058956
308,pisco,-13.7,-76.2167,23.03,83,40,4.63,PE,1741058957
309,usinsk,65.9939,57.5281,-7.4,93,100,7.31,RU,1741058959
310,jingdezhen,29.2947,117.2079,8.2,78,100,2.14,CN,1741058960
311,carauari,-4.8828,-66.8958,22.61,98,100,0.92,BR,1741058961
312,new kingman-butler,35.265,-114.0323,7.09,49,0,2.57,US,1741058962
313,rafah,31.287,34.2595,15.35,72,100,3.95,PS,1741058963
314,quezon,7.7303,125.0989,30.49,57,50,2.69,PH,1741058965
315,haifa,32.8156,34.9892,14.52,77,0,1.03,IL,1741058966
316,kone,-21.0595,164.8658,30.84,67,96,2.0,NC,1741058967
317,chibougamau,49.9168,-74.3659,-10.21,92,100,3.6,CA,1741058968
318,volkhov,59.9258,32.3382,0.48,92,100,3.11,RU,1741058969
319,fisterra,42.9049,-9.2629,11.16,79,2,6.25,ES,1741058971
320,severo-yeniseyskiy,60.3725,93.0408,-8.96,93,100,2.32,RU,1741058972
321,puerto aysen,-45.4,-72.7,10.25,98,100,1.79,CL,1741058973
322,lake monticello,37.9232,-78.3347,1.53,60,3,1.3,US,1741058974
323,saint-joseph,-21.3667,55.6167,26.21,78,21,3.69,RE,1741058976
324,acarau,-2.8856,-40.12,25.03,90,95,2.76,BR,1741058977
325,basco,20.4487,121.9702,26.01,85,26,4.88,PH,1741058978
326,el abadia,36.2695,1.6861,13.92,56,100,3.64,DZ,1741058979
327,camayenne,9.535,-13.6878,25.66,73,37,6.61,GN,1741058980
328,phang nga,8.4509,98.5298,31.87,50,96,0.54,TH,1741058983
329,ludwigslust,53.3167,11.5,1.66,92,100,2.73,DE,1741058984
330,nieuw amsterdam,5.8833,-55.0833,24.23,89,4,3.95,SR,1741058985
331,champerico,14.3,-91.9167,27.63,67,1,3.47,GT,1741058986
332,alpena,45.0617,-83.4327,1.73,67,0,3.09,US,1741058988
333,tazacorte,28.629,-17.9293,15.54,77,75,6.69,ES,1741058989
334,east haven,41.2762,-72.8684,-1.04,74,11,1.34,US,1741058990
335,fortuna,40.5982,-124.1573,8.88,91,75,1.54,US,1741058992
336,singleton,-32.5667,151.1833,26.66,81,62,0.45,AU,1741058994
337,las heras,-46.5419,-68.9359,13.69,40,74,9.47,AR,1741058995
338,bikenibeu village,1.3673,173.1241,29.98,74,40,6.17,KI,1741058996
339,dazhou,31.2159,107.5009,8.28,80,100,1.21,CN,1741058935
340,zmiyevka,52.6697,36.3739,0.22,97,100,7.45,RU,1741058998
341,yanam,16.7333,82.2167,32.78,40,92,1.44,IN,1741059000
342,mineral wells,32.8085,-98.1128,23.11,64,100,7.72,US,1741058876
343,praia da vitoria,38.7333,-27.0667,12.14,94,40,1.93,PT,1741059002
344,geraldton,-28.7667,114.6,28.23,51,1,9.77,AU,1741058978
345,nikolayevsk-on-amure,53.1406,140.73,-13.94,77,29,6.32,RU,1741059005
346,mogadishu,2.0371,45.3438,25.55,83,53,6.31,SO,1741058878
347,saint-philippe,-21.3585,55.7679,27.2,78,22,4.3,RE,1741059007
348,kavaratti,10.5669,72.642,28.06,76,99,1.58,IN,1741059008
349,nova sintra,14.8667,-24.7167,21.31,65,76,8.6,CV,1741059009
350,formosa do rio preto,-11.0483,-45.1931,25.04,58,64,2.09,BR,1741059011
351,yamada,39.4667,141.95,1.85,43,95,2.85,JP,1741059012
352,kerman,30.2832,57.0788,-4.08,42,0,2.06,IR,1741059013
353,arraial do cabo,-22.9661,-42.0278,24.95,87,0,5.57,BR,1741059014
354,constantia,44.1833,28.65,0.39,79,2,2.81,RO,1741059015
355,bahawalnagar,30.5508,73.3908,16.5,27,1,0.63,PK,1741059017
356,tarinkot,32.6268,65.8733,4.16,31,0,1.89,AF,1741059018
357,isangel,-19.55,169.2667,30.06,70,75,2.57,VU,1741059019
358,fuling,29.7022,107.3919,11.0,90,100,0.88,CN,1741059020
359,auki,-8.7676,160.7034,28.13,79,100,0.99,SB,1741059022
360,road town,18.4167,-64.6167,25.05,77,0,4.97,VG,1741058857
361,carnarvon,-24.8667,113.6333,31.14,45,42,10.84,AU,1741059024
